The Shawshank Redemption,['25000000'],[28341469.],[3341469.]
The Godfather,['6000000'],[2.45066411e+08],[2.39066411e+08]
The Dark Knight,['185000000' '0'],[1.00455844e+09 0.00000000e+00],[ 8.19558444e+08 -1.85000000e+08]
The Dark Knight,['185000000' '0'],[1.00455844e+09 0.00000000e+00],[ 8.19558444e+08 -1.85000000e+08]
The Godfather: Part II,['13000000'],[47542841.],[34542841.]
12 Angry Men,['350000' '0'],[1000000.       0.],[ 650000. -350000.]
12 Angry Men,['350000' '0'],[1000000.       0.],[ 650000. -350000.]
The Lord of the Rings: The Return of the King,['94000000'],[1.11888898e+09],[1.02488898e+09]
Pulp Fiction,['8000000'],[2.13928762e+08],[2.05928762e+08]
Schindler's List,['22000000'],[3.21365567e+08],[2.99365567e+08]
Inception,['160000000'],[8.25532764e+08],[6.65532764e+08]
Fight Club,['63000000'],[1.00853753e+08],[37853753.]
The Lord of the Rings: The Fellowship of the Ring,['93000000'],[8.71368364e+08],[7.78368364e+08]
Forrest Gump,['55000000'],[6.77945399e+08],[6.22945399e+08]
"Il buono, il brutto, il cattivo",['1200000'],[6000000.],[4800000.]
The Lord of the Rings: The Two Towers,['79000000'],[9.262874e+08],[8.472874e+08]
The Matrix,['63000000'],[4.63517383e+08],[4.00517383e+08]
One Flew Over the Cuckoo's Nest,['3000000'],[1.08981275e+08],[1.05981275e+08]
Hamilton,['0'],[0.],[0.]
Interstellar,['165000000'],[6.75120017e+08],[5.10120017e+08]
Cidade de Deus,['3300000'],[30641770.],[27341770.]
Saving Private Ryan,['70000000'],[4.81840909e+08],[4.11840909e+08]
The Green Mile,['60000000'],[2.846e+08],[2.246e+08]
La vita � bella,['20000000'],[2.294e+08],[2.094e+08]
Se7en,['33000000'],[3.27311859e+08],[2.94311859e+08]
The Silence of the Lambs,['19000000'],[2.72742922e+08],[2.53742922e+08]
Star Wars,['11000000'],[7.75398007e+08],[7.64398007e+08]
It's a Wonderful Life,['3180000'],[9644124.],[6464124.]
Joker,['0'],[0.],[0.]
Whiplash,['3300000' '0' '0'],[13092000.        0.        0.],[ 9792000. -3300000. -3300000.]
Whiplash,['3300000' '0' '0'],[13092000.        0.        0.],[ 9792000. -3300000. -3300000.]
Whiplash,['3300000' '0' '0'],[13092000.        0.        0.],[ 9792000. -3300000. -3300000.]
The Prestige,['40000000'],[1.09676311e+08],[69676311.]
The Departed,['90000000'],[2.89847354e+08],[1.99847354e+08]
The Pianist,['35000000'],[1.20072577e+08],[85072577.]
Gladiator,['103000000'],[4.57640427e+08],[3.54640427e+08]
American History X,['20000000'],[23875127.],[3875127.]
The Usual Suspects,['6000000'],[23341568.],[17341568.]
L�on,['16000000'],[45284974.],[29284974.]
The Lion King,['45000000'],[7.88241776e+08],[7.43241776e+08]
