Title,Budget,Revenue,Profit,Diff,Target
The Shawshank Redemption,25000000,28341469,3341469,0.13365876,0
The Godfather,6000000,245066411,239066411,39.844401833333336,1
The Dark Knight,185000000,1004558444,819558444,4.430045643243243,1
The Godfather: Part II,13000000,47542841,34542841,2.6571416153846155,1
12 Angry Men,350000,1000000,650000,1.8571428571428568,1
The Lord of the Rings: The Return of the King,94000000,1118888979,1024888979,10.903074244680852,1
Pulp Fiction,8000000,213928762,205928762,25.74109525,1
Schindler's List,22000000,321365567,299365567,13.607525772727271,1
Inception,160000000,825532764,665532764,4.159579775,1
Fight Club,63000000,100853753,37853753,0.6008532222222223,0
The Lord of the Rings: The Fellowship of the Ring,93000000,871368364,778368364,8.369552301075268,1
Forrest Gump,55000000,677945399,622945399,11.326279981818182,1
"Il buono, il brutto, il cattivo",1200000,6000000,4800000,4.0,1
The Lord of the Rings: The Two Towers,79000000,926287400,847287400,10.725156962025316,1
The Matrix,63000000,463517383,400517383,6.357418777777778,1
One Flew Over the Cuckoo's Nest,3000000,108981275,105981275,35.32709166666667,1
Hamilton,0,0,0,0.0,0
Interstellar,165000000,675120017,510120017,3.0916364666666665,1
Cidade de Deus,3300000,30641770,27341770,8.28538484848485,1
Saving Private Ryan,70000000,481840909,411840909,5.8834415571428575,1
The Green Mile,60000000,284600000,224600000,3.743333333333333,1
La vita � bella,20000000,229400000,209400000,10.47,1
Se7en,33000000,327311859,294311859,8.918541181818181,1
The Silence of the Lambs,19000000,272742922,253742922,13.354890631578948,1
Star Wars,11000000,775398007,764398007,69.49072790909091,1
It's a Wonderful Life,3180000,9644124,6464124,2.032743396226415,1
Joker,0,0,0,0.0,0
Whiplash,3300000,13092000,9792000,2.9672727272727277,1
The Prestige,40000000,109676311,69676311,1.741907775,1
The Departed,90000000,289847354,199847354,2.2205261555555555,1
The Pianist,35000000,120072577,85072577,2.4306450571428573,1
Gladiator,103000000,457640427,354640427,3.4431109417475727,1
American History X,20000000,23875127,3875127,0.19375635,0
The Usual Suspects,6000000,23341568,17341568,2.890261333333333,1
L�on,16000000,45284974,29284974,1.830310875,1
The Lion King,45000000,788241776,743241776,16.516483911111113,1
Terminator 2: Judgment Day,100000000,520000000,420000000,4.2,1
Nuovo Cinema Paradiso,0,11990401,11990401,0.0,0
Back to the Future,19000000,381109762,362109762,19.05840852631579,1
Psycho,806948,32000000,31193052,38.655591190510414,1
Casablanca,878000,10462500,9584500,10.916287015945333,1
Modern Times,1,8500000,8499999,8499999.0,1
City Lights,1500000,19181,-1480819,-0.9872126666666666,0
Coco,0,0,0,0.0,0
Django Unchained,100000000,425368238,325368238,3.25368238,1
The Dark Knight Rises,250000000,1084939099,834939099,3.339756396,1
3 Idiots,9000000,70000000,61000000,6.777777777777778,1
Taare Zameen Par,2600000,28430000,25830000,9.934615384615384,1
WALL�E,180000000,521311860,341311860,1.896177,1
Memento,9000000,39723096,30723096,3.413677333333333,1
Once Upon a Time in America,30000000,0,-30000000,-1.0,0
Raiders of the Lost Ark,18000000,389925971,371925971,20.662553944444443,1
The Shining,19000000,44017374,25017374,1.316703894736842,0
Apocalypse Now,31500000,89460381,57960381,1.8400120952380952,1
Alien,11000000,104931801,93931801,8.539254636363637,1
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1800000,9440272,7640272,4.244595555555556,1
Witness for the Prosecution,3000000,9000000,6000000,2.0,1
Paths of Glory,935000,0,-935000,-1.0,0
Rear Window,1000000,36764313,35764313,35.764313,1
The Great Dictator,2000000,11000000,9000000,4.5,1
Drishyam,0,0,0,0.0,0
Jagten,3800000,16800000,13000000,3.421052631578948,1
Incendies,6800000,7103838,303838,0.0446820588235294,0
Inglourious Basterds,70000000,319131050,249131050,3.559015,1
Eternal Sunshine of the Spotless Mind,20000000,72258126,52258126,2.6129063,1
Snatch,10000000,83557872,73557872,7.3557872,1
Requiem for a Dream,4500000,7390108,2890108,0.6422462222222223,0
American Beauty,15000000,356296601,341296601,22.753106733333333,1
Good Will Hunting,10000000,225933435,215933435,21.5933435,1
Toy Story,30000000,373554033,343554033,11.4518011,1
Braveheart,72000000,210000000,138000000,1.9166666666666667,1
Reservoir Dogs,1200000,14661007,13461007,11.217505833333334,1
Full Metal Jacket,17000000,46357676,29357676,1.7269221176470588,1
Aliens,18500000,183316455,164816455,8.908997567567567,1
Amadeus,18000000,51973029,33973029,1.8873905,1
Scarface,25000000,65884703,40884703,1.63538812,1
Das Boot,14000000,85000000,71000000,5.071428571428571,1
Taxi Driver,1300000,28262574,26962574,20.74044153846154,1
The Sting,5500000,159616327,154116327,28.02115036363636,1
A Clockwork Orange,2200000,26589000,24389000,11.085909090909093,1
2001: A Space Odyssey,10500000,68700000,58200000,5.542857142857143,1
Per qualche dollaro in pi�,600000,15000000,14400000,24.0,1
Lawrence of Arabia,15000000,69995385,54995385,3.666359,1
The Apartment,3000000,25000000,22000000,7.333333333333333,1
